feature,gini
kde_prob_mean,0.49519113520488073
kde_prob_night_mean,0.3846189125976962
accelerate,0.04053699299643093
dist_to_centroid_mean,0.03405744266450208
mean_speed,0.0229925242396924
is_night,0.010479401534522502
step_median,0.009435694307598544
turning_angle_max,0.0014869565842924551
turning_angle_median,0.0012009398703841832
