kde_prob_mean,kde_prob_night_mean,dist_to_centroid_mean,step_median,mean_speed,accelerate,turning_angle_max,turning_angle_median,is_night,is_outside
32890,42799,11232,4862,8693,2999,46189,46189,65535,0
41911,47847,12171,1392,2487,7403,13613,13613,65535,0
42243,48071,12241,183,328,2586,0,0,65535,0
55004,51554,13778,2058,3670,3980,37540,37540,0,0
53485,48630,14313,1067,1900,2104,33452,33452,0,0
48262,49864,13580,1703,3058,1387,23829,23829,0,0
46609,50045,13867,934,1669,1657,15601,15601,0,0
39341,48583,12379,1647,2940,1516,43691,43691,0,0
48478,49956,13404,1392,2487,541,47933,47933,65535,0
41683,39205,16275,3816,6721,4979,1451,1451,65535,0
18726,35335,19108,6124,5507,729,13302,13302,65535,0
19073,36324,17444,3607,6447,1121,26365,26365,65535,0
25681,41731,16345,1406,2525,4703,34507,34507,65535,0
28855,43514,15678,820,1469,1263,2122,2122,65535,0
37669,50889,16466,2026,3627,2578,30570,30570,0,0
36998,50309,16643,223,395,3829,0,0,0,0
36777,50229,16664,38,69,389,0,0,0,0
36547,50074,16705,44,80,13,0,0,0,0
34665,49146,16940,296,530,538,13939,13939,0,0
29372,44982,16150,1914,3436,3484,32698,32698,65535,0
18050,37291,18979,3090,5501,2455,40993,40993,65535,0
9815,23752,18730,2847,5101,479,35692,35692,65535,0
26920,28909,14546,8624,15408,12296,15147,15147,65535,0
11328,19371,14133,3024,5401,11934,53245,53245,65535,0
13263,20554,15696,1913,3433,2359,44277,44277,65535,0
37670,30031,13186,4701,8404,5935,39000,39000,65535,0
36927,28213,11995,1423,2535,6983,14170,14170,0,0
41560,31376,12620,1091,1956,693,37182,37182,0,0
41286,31099,12771,493,878,1283,43895,43895,0,0
41692,32309,13356,662,1172,348,19618,19618,0,0
40969,33781,14065,777,1404,280,3683,3683,0,0
25801,30716,16671,2965,5288,4626,4855,4855,65535,0
729,2939,21083,7130,12717,8847,14655,14655,65535,1
220,2182,23688,4046,7190,6558,3015,3015,65535,1
