kde_very_low_prob_count,kde_low_prob_ratio,dist_to_centroid_mean,step_max,mean_speed,turning_angle_mean,turning_angle_median,hour,is_outside
0,0,901299219,63575519,112703132,127231532,127231532,1952257861,0
0,0,903810209,4701018,8519079,481593201,481593201,2342709434,0
0,0,888235779,17495450,31225681,3317741984,3317741984,2733161006,0
0,0,953918269,119254201,214060468,2636685252,2636685252,3123612578,0
0,0,1016711019,91768792,162057662,167819557,167819557,3514064150,0
0,0,1139665946,134992345,244492383,803335861,803335861,3904515723,0
0,0,1241214088,208565921,365704775,1336298823,1336298823,4294967295,0
0,0,1137303903,213880713,389123703,1713218067,1713218067,0,0
0,0,709435115,594796118,1063206986,2170631251,2170631251,390451572,0
0,0,800195803,111140986,196591337,3783257873,3783257873,780903145,0
0,0,864224028,107956389,193808000,1856903806,1856903806,1171354717,0
0,0,932359401,135293687,240936110,308581059,308581059,1561806289,0
0,0,925149589,65342435,117980222,1078751085,1078751085,1952257861,0
0,0,922362341,3566667,6395008,1271670147,1271670147,2342709434,0
0,0,890210918,37814381,67603161,240520518,240520518,2733161006,0
0,0,867797980,43940200,78521959,1853411421,1853411421,3123612578,0
0,0,810523991,76785949,135803891,553954553,553954553,3514064150,0
0,0,466869803,440964056,793741193,329092104,329092104,3904515723,0
0,0,613648706,411021384,735217387,1197312228,1197312228,4294967295,0
0,0,616185674,47015511,84392518,933148091,933148091,0,0
0,0,668306488,176732920,313043578,3882474585,3882474585,390451572,0
0,0,681701302,59161175,106267997,321251232,321251232,780903145,0
0,0,833326926,446868667,398120626,240577571,240577571,1561806289,0
0,0,848460418,45466329,80878639,372371389,372371389,1952257861,0
0,0,905865763,63776903,114863529,1352764514,1352764514,2342709434,0
0,0,914298009,10454731,18800252,435337249,435337249,2733161006,0
0,0,886708154,52155062,93305700,2346331489,2346331489,3123612578,0
0,0,891190616,18747592,33576881,3834641047,3834641047,3514064150,0
0,0,766416066,177000936,315122761,1657151924,1657151924,3904515723,0
0,0,620548660,185144418,330994390,386945377,386945377,4294967295,0
0,0,448547706,226258015,405114694,1495115090,1495115090,0,0
0,0,736139143,318627022,569708812,3027057027,3027057027,390451572,0
0,0,797638727,91241601,163005185,892133939,892133939,780903145,0
0,0,802237383,11986482,21497665,599087593,599087593,1171354717,0
0,0,902948442,134885870,240542647,2460280490,2460280490,1561806289,0
0,0,938049933,69956734,124547132,2192313007,2192313007,1952257861,0
0,0,890004159,111602093,200380874,1561664272,1561664272,2342709434,0
0,0,908786765,61193294,109399124,1022421146,1022421146,2733161006,0
0,0,811284358,107929519,192711540,2863380043,2863380043,3123612578,0
0,0,878466685,91226238,163022991,3141417164,3141417164,3514064150,0
0,0,1066601265,250111988,440472758,95076854,95076854,3904515723,0
0,0,1252300294,401372233,360909637,871776799,871776799,0,0
0,0,1143253978,236388676,422489634,1727893298,1727893298,390451572,0
0,0,1071215064,92136360,165453348,2261486356,2261486356,780903145,0
0,0,1027471845,53740191,96302120,139041975,139041975,1171354717,0
0,0,1079103375,132799414,237678001,2003452663,2003452663,1561806289,0
0,0,1090701072,14586036,25878695,768427509,768427509,1952257861,0
0,0,1092131206,2522756,4512597,1940673459,1940673459,2342709434,0
0,0,1094764331,2906620,5210823,1431679231,1431679231,2733161006,0
0,0,1110222966,19423983,34725484,913506278,913506278,3123612578,0
0,0,1058390575,125437400,225190670,2142910521,2142910521,3514064150,0
0,0,1243845486,202538523,360538613,2686587968,2686587968,3904515723,0
0,0,1227524387,186556365,334307955,2339141169,2339141169,4294967295,0
0,0,953281346,565218754,1009776096,992717300,992717300,0,0
0,0,926218193,198202615,353995193,3489487153,3489487153,390451572,0
0,0,1028700322,125397586,224962317,2901802416,2901802416,780903145,0
0,0,864201089,308080683,550775329,2555934752,2555934752,1171354717,0
0,0,786125827,93241264,166139509,928634600,928634600,1561806289,0
0,0,827052176,71471583,128219477,2436811359,2436811359,1952257861,0
0,0,836994330,32310213,57563140,2876766781,2876766781,2342709434,0
0,0,875321064,43367935,76837926,1285725618,1285725618,2733161006,0
0,0,921810232,50924196,92024560,241400011,241400011,3123612578,0
0,0,1092559873,194325337,346589363,318194319,318194319,3514064150,0
0,4294967295,1381743970,467286389,833429624,960468724,960468724,3904515723,0
4294967295,4294967295,1552452670,265179164,471198026,197603964,197603964,4294967295,1
0,0,1335495406,237378750,423318715,3210210763,3210210763,0,0
0,0,1202246360,191249322,344251336,807692433,807692433,390451572,0
0,0,1167772882,68353588,122917051,290335302,290335302,780903145,0
0,0,1193295143,46928611,84142663,1618995117,1618995117,1171354717,0
0,0,1069615365,240853438,429336698,1811805888,1811805888,1561806289,0
0,0,1090916291,44363997,78917735,1432400190,1432400190,1952257861,0
0,0,1083385790,39605322,71339990,3825657768,3825657768,2342709434,0
0,0,1089706962,10837343,19294211,1198865886,1198865886,2733161006,0
0,0,1097937816,47156257,83954415,709366327,709366327,3123612578,0
0,0,993201702,137687613,247182785,3205366225,3205366225,3514064150,0
0,0,869053856,219095758,391691348,1981534839,1981534839,3904515723,0
0,0,712508073,368881230,660941073,114324741,114324741,4294967295,0
0,0,467537807,295773256,528405615,1286113105,1286113105,0,0
0,0,674352331,282627195,506325363,2463106876,2463106876,390451572,0
0,0,701667251,32255476,57545270,164783368,164783368,780903145,0
0,0,661937639,51087209,91331835,3042995384,3042995384,1171354717,0
0,0,783826113,197591353,353246564,3813709340,3813709340,1561806289,0
0,0,769521739,65638162,117688754,1517726098,1517726098,1952257861,0
0,0,811497000,75223038,133885935,3722256461,3722256461,2342709434,0
0,0,812328125,8335970,14935932,803062521,803062521,2733161006,0
0,0,983626463,188973527,335834255,1777795629,1777795629,3123612578,0
0,0,1052313361,113135886,203191476,1381213021,1381213021,3514064150,0
0,0,1090924218,59216011,105570957,16915208,16915208,3904515723,0
0,0,958379084,299476819,536885005,4032504307,4032504307,4294967295,1
