timestamp,step_mean,step_std,step_max,step_median,dist_to_centroid_mean,speed_roll_var_4h_mean,speed_roll_var_8h_mean,accel_roll_var_4h_mean,accel_roll_var_8h_mean,kde_prob_mean,kde_prob_min,kde_prob_max,kde_prob_std,kde_prob_day_mean,kde_prob_night_mean,kde_prob_adaptive_mean,kde_low_prob_ratio,kde_very_low_prob_count,turning_angle_mean,turning_angle_std,turning_angle_max,turning_angle_median,sharp_turns_ratio,moderate_turns_ratio,turning_entropy,mean_speed,accelerate,is_outside,hour,is_night
6404482,321022594,0,321022594,321022594,1604448638,34076913,122244920,8450807,316573140,732891012,732891012,732891012,0,681818445,695320347,681818445,4294967295,0,3303098069,0,3303098069,3303098069,4294967295,0,4294967295,571531024,230921428,0,1171354717,4294967295
6709457,512243197,0,512243197,512243197,1980425866,59356379,109951089,23942832,130432083,211718227,211718227,211718227,0,218968647,169377953,218968647,4294967295,4294967295,1464160989,0,1464160989,1464160989,0,4294967295,4294967295,920242978,418330022,4294967295,1561806289,0
7014432,27807829,0,27807829,27807829,2002000074,242560278,133639151,172498307,170739496,212749397,212749397,212749397,0,219787983,170556559,219787983,4294967295,4294967295,1543896939,0,1543896939,1543896939,0,4294967295,4294967295,49769114,1040337972,4294967295,1952257861,0
7319407,63248844,0,63248844,63248844,1951489300,38183725,173807609,113159842,168049714,263055503,263055503,263055503,0,273357267,208598006,273357267,4294967295,4294967295,2846190253,0,2846190253,2846190253,4294967295,0,4294967295,111555565,72770907,4294967295,2342709434,0
7624383,208824369,0,208824369,208824369,2131503410,23765797,151865510,31224669,164236161,212727144,212727144,212727144,0,219374558,171097409,219374558,4294967295,4294967295,3098492242,0,3098492242,3098492242,4294967295,0,3907386801,377841646,321738474,4294967295,2733161006,0
7929358,45588123,0,45588123,45588123,2172724959,24505142,30360623,35005179,128895814,191010729,191010729,191010729,0,196720845,154000968,196720845,4294967295,4294967295,236408334,0,236408334,236408334,0,0,3519806307,81682288,354345996,4294967295,3123612578,0
8234333,110187444,0,110187444,110187444,2233279027,54250750,35437906,43687267,52380767,198374349,198374349,198374349,0,205876842,157688042,157688042,4294967295,4294967295,1091596259,0,1091596259,1091596259,0,4294967295,3519806307,195738513,135297277,4294967295,3514064150,4294967295
8539309,609012681,0,609012681,609012681,1780235707,272921935,211723103,87110688,138428330,167463368,167463368,167463368,0,173651258,133325139,133325139,4294967295,4294967295,3795147251,0,3795147251,3795147251,4294967295,0,3108219019,1085904921,1059894290,4294967295,3904515723,4294967295
8844284,0,0,0,0,0,56889712,248797078,62050031,147460196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2264492843,0,0,0,4294967295,4294967295
9149259,553424141,0,553424141,553424141,1490445832,39574400,150483409,61422919,143056235,27037915,27037915,27037915,0,19363861,33936814,33936814,4294967295,4294967295,181698341,0,181698341,181698341,0,0,2264492843,496557768,353108975,4294967295,0,4294967295
