kde_very_low_prob_count,kde_low_prob_ratio,dist_to_centroid_mean,step_max,mean_speed,turning_angle_mean,turning_angle_median,hour,is_outside
0,0.0,2089.8847221282595,252.3868239146631,126.7214178651028,0.0,0.0,12,0
0,0.0,2193.7955379683503,162.67695210681327,81.180624838443,0.0,0.0,14,0
0,0.0,1478.4070016781864,1126.5793419498248,564.5442136719612,169.4002348925572,169.4002348925572,16,1
0,0.0,1380.8993926619871,135.00314366072513,66.97138172503934,108.10996421035216,108.10996421035216,18,0
0,0.0,1294.9781502118349,680.7838580333078,342.1024412227677,114.23194779874434,114.23194779874434,20,0
0,0.0,1026.0824789814428,1556.59093463584,775.1732417608279,56.59978945962605,56.59978945962605,22,0
0,0.0,1674.8346506577566,884.0670307176614,441.9721303407278,1.9370835216299296,1.9370835216299296,0,0
0,0.0,2248.405250882714,621.3353468451,307.84575401078445,57.47655958377484,57.47655958377484,2,0
0,0.0,2843.578014318983,640.9657116919246,325.6388035691404,43.85228338568903,43.85228338568903,4,0
0,0.0,3451.136213574839,802.5618974458301,398.62345899627326,64.8110175197802,64.8110175197802,6,0
0,0.0,3915.262495280853,873.052195017543,439.0261072863744,99.96148674560708,99.96148674560708,8,0
0,0.0,3551.431800942481,626.0441435594099,313.37026095854776,178.34157738100654,178.34157738100654,10,1
0,0.0,3423.0824686854658,131.0661550887542,65.30631949059033,47.161974774402495,47.161974774402495,12,0
0,0.0,3580.3354516966115,192.9693287335884,96.83434394214083,131.99675299415975,131.99675299415975,14,0
0,0.0,3968.423784650939,826.9579992059898,410.6274202953881,102.17621894827931,102.17621894827931,16,0
0,0.0,4360.308899400156,580.1673860443007,292.0305634451178,6.108752892920819,6.108752892920819,18,0
0,0.0,2308.4709476583603,2740.8876271172862,1368.1635409903258,107.77907415052572,107.77907415052572,20,0
0,1.0,4634.966748851681,3436.6626565494253,1704.1302429170703,44.81678008240732,44.81678008240732,22,1
0,0.0,5418.510721064094,1058.2496100656658,534.4695000331645,75.35340703261656,75.35340703261656,0,0
0,0.0,5481.68867551373,227.10826057337056,112.41437344481425,36.753461396293424,36.753461396293424,2,0
0,0.0,6094.541739686077,689.7157403561835,346.9298121115356,43.908862099685656,43.908862099685656,4,0
0,0.0,5768.942261966916,1055.4518392013529,525.5361854944496,138.4142081999458,138.4142081999458,6,0
0,1.0,7120.326607199222,1684.1432170108894,846.1850078491559,61.35472812294336,61.35472812294336,8,0
0,1.0,7197.851443297277,91.42603778950811,45.76386763657248,64.69601203313033,64.69601203313033,10,0
0,1.0,7016.311417981892,207.94831928323927,102.5779596354702,119.2677789243333,119.2677789243333,12,0
0,1.0,7663.199799197764,686.568698010908,347.43425820062816,129.8403321276316,129.8403321276316,14,0
0,1.0,7811.336254455956,149.88374315863126,75.10877997926957,9.906539764910605,9.906539764910605,16,0
0,1.0,8028.903646156524,362.2721329711402,179.98615494011932,45.742641827973145,45.742641827973145,18,0
