feature,scale,min,max
kde_prob_mean,1.5259021896696422e-05,0.0,1.0
kde_prob_night_mean,1.5259021896696422e-05,0.0,1.0
dist_to_centroid_mean,0.23527692347478227,14.40129766229806,15433.274477582154
step_median,0.21547127333734353,0.0,14120.909898162809
mean_speed,0.060262809076473654,0.0,3949.323192826701
accelerate,0.025239658791223682,0.0,1654.081038882844
turning_angle_max,0.0027462859938862452,0.0,179.9778526093351
turning_angle_median,0.0027462859938862452,0.0,179.9778526093351
is_night,1.5259021896696422e-05,0.0,1.0
